"Rank","Player","Year","Pos","Team","AAV",""
"","Nick Wittgren","2023","RP","KC","$720,000",""
"","Jordan Walker","2023","3B","STL","$720,000",""
"","Tyler Freeman","2023","SS","CLE","$720,000",""
"","David Fry","2023","C","CLE","$720,000",""
"","Tim Herrin","2023","RP","CLE","$720,000",""
"","Bo Naylor","2023","C","CLE","$720,000",""
"","Gavin Williams","2023","P","CLE","$720,000",""
"","Brennan Bernardino","2023","RP","BOS","$720,000",""
"","Bobby Dalbec","2023","1B","BOS","$720,000",""
"","Jordan Balazovic","2023","SP","MIN","$720,000",""
"","Jarren Duran","2023","CF","BOS","$720,000",""
"","Jose De Leon","2023","RP","MIN","$720,000",""
"","Justin Garza","2023","RP","BOS","$720,000",""
"","Jhoan Duran","2023","RP/CL","MIN","$720,000",""
"","Osvaldo Bido","2023","SP","PIT","$720,000",""
"","Caleb Hamilton","2023","C","BOS","$720,000",""
"","Brent Headrick","2023","SP","MIN","$720,000",""
"","Cody Bolton","2023","RP","PIT","$720,000",""
"","Ryan Borucki","2023","RP","PIT","$720,000",""
"","Joe Jacques","2023","P","BOS","$720,000",""
"","Edouard Julien","2023","2B","MIN","$720,000",""
"","Oneil Cruz","2023","SS","PIT","$720,000",""
"","Chris Murphy","2023","SP","BOS","$720,000",""
"","Bailey Ober","2023","SP","MIN","$720,000",""
"","Henry Davis","2023","C","PIT","$720,000",""
"","Pablo Reyes","2023","LF","BOS","$720,000",""
"","Yerry De Los Santos","2023","RP","PIT","$720,000",""
"","Cole Sands","2023","RP","MIN","$720,000",""
"","Jason Delay","2023","C","PIT","$720,000",""
"","Brock Stewart","2023","RP","MIN","$720,000",""
"","Nick Gonzales","2023","SS","PIT","$720,000",""
"","Jose Hernandez","2023","RP","PIT","$720,000",""
"","Tucupita Marcano","2023","SS","PIT","$720,000",""
"","Carmen Mlodzinski","2023","P","PIT","$720,000",""
"","Luiz Ortiz","2023","SP","PIT","$720,000",""
"","Joshua Palacios","2023","CF","PIT","$720,000",""
"","Angel Perdomo","2023","RP","PIT","$720,000",""
"","Sam Bachman","2023","P","LAA","$720,000",""
"","Chris Devenski","2023","RP","LAA","$720,000",""
"","Kolton Ingram","2023","RP","LAA","$720,000",""
"","Ben Joyce","2023","RP","LAA","$720,000",""
"","Mickey Moniak","2023","CF","LAA","$720,000",""
"","Zach Neto","2023","SS","LAA","$720,000",""
"","Kevin Padlo","2023","3B","LAA","$720,000",""
"","Jose Soriano","2023","RP","LAA","$720,000",""
"","Andrew Velazquez","2023","3B","LAA","$720,000",""
